text,sentiment
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1
You can't beat the price on these.,1
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1
lightweight and works well.,1
I love this cable - it allows me to connect any mini-USB device to my PC.,1
This is cool because most cases are just open there allowing the screen to get all scratched up.,1
Appears to actually outperform the original battery from China that came with my V325i.,1
"jabra ear gels ""R"" the best!.",1
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1
It was a great phone.,1
"Good value, works fine - power via USB, car, or wall outlet.",1
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
This is simply the BEST bluetooth headset for sound quality!,1
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1
I have always used corded headsets and the freedom from the wireless is very helpful.,1
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1
"Other than that, the leather is nice and soft the fit is very tight the cut out for the face is a good shape.",1
It has everything I need and I couldn't ask for more.,1
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1
T-Mobile has the best customer service anywhere.,1
Arrived quickly and much less expensive than others being sold.,1
"Provides good protection and looks classy, too.",1
Krussel Always good.,1
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
The design is very good.4.,1
I great reception all the time.,1
I would highly recommend this product.,1
Fantastic buy and will get again for whatever my next phone is,1
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1
Blue Ant is easy to use.,1
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
The sound quality is excellent as well.,1
Its the best headset I have used.,1
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
Just what I wanted.,1
Great product.,1
Crisp and Clear.,1
The reception has been generally good.,1
"Excellent sound, battery life and inconspicuous to boot!.",1
Great bluetooth!.,1
I highly recommend this case.,1
WORTHWHILE.,1
This is a great deal.,1
It is simple to use and I like it.,1
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1
I own 2 of these cases and would order another.,1
Great Phone.,1
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
Perfect for the PS3.,1
"Five star Plus, plus.",1
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1
"Good , works fine.",1
For the price this was a great deal.,1
"Great price, too!",1
Yes it's shiny on front side - and I love it!,1
The reception through this headset is excellent.,1
2 thumbs up to this seller,1
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1
#1 It Works - #2 It is Comfortable.,1
Battery charge-life is quite long.,1
The Jabra EarGels fit my ears very well.,1
Product is exactly as described.,1
Gets a signal when other Verizon phones won't.,1
I would recommend it.,1
Plan on ordering from them again and again.,1
"That being said, for a phone, the camera is very nice many cool effects to play with, and video is decent as well.",1
I have been very satisfied with this cell phone from day one.,1
They keep getting better and better (this is my third one and I've had numerous Palms too).,1
The shipping time was also very quick!,1
Good case!.,1
Really good product.,1
It looks very nice.,1
"This is an excellent tool, especially when paired with your phone's auto-answer.",1
I have read other's reviews here but I haven't had any problem with it.,1
Comfortable in my hand.,1
(It works!),1
So far it has worked like a charm.,1
"I have only had it for a few weeks, but so far, so good.",1
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1
Would recommend this item.,1
It's been my choice headset for years.Great sound good volume  good noise cancellation.,1
"Nice case, feels good in your hands.",1
"Just really good.. So far, probably the best BT headset I have ever had.",1
Works fine.,1
I received my headset in good time and was happy with it.,1
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1
My sister has one also and she loves it.,1
Good Quality.,1
Excellent dual-purpose headset.,1
Excellent!.,1
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1
The only good thing was that it fits comfortably on small ears.,1
"I am pairing this with my iphone, and I could not be happier with it so far.",1
Best headset ever!!!.,1
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1
"Fits comfortably, came with three sizes of earbud tips.",1
Excellent product for the price.,1
It was quite comfortable in the ear.,1
Great phone.,1
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1
The cutouts and buttons are placed perfectly.,1
I love being able to use one headset for both by land-line and cell.,1
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1
Seller shipped quickly and much cheaper than the competitors.,1
"Good show, Samsung.",1
So I bought about 10 of these and saved alot of money.,1
Leopard Print is wonderfully wild!.,1
Works for me.,1
much better than the hard plastic cases.,1
Happy so far!.,1
cool phone.,1
Works good.,1
Motorola finally got the voice quality of a bluetooth headset right.,1
"but it is great, i would really recommend it",1
"You get extra minutes so that you can carry out the call and not get cut off.""",1
The headset fulfills my requirements so I am happy with my purchase.,1
Logitech Bluetooth Headset is a 10!.,1
"I like the fact that it rests lightly against your ear, rather than inside.",1
A lot of websites have been rating this a very good phone and so do I.,1
I have tried these cables with my computer and my iPod and it works just fine.,1
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1
I have had mine for about a year and this Christmas I bought some for the rest of the family.,1
"Otherwise, easy to install and use, clear sound.",1
nice leather.,1
It is a joy to use.,1
Very satisifed with that.,1
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1
Just reading on the specs alone makes you say WOW.,1
Love it.. Great armband.,1
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1
I was very impressed with the price of the cases.,1
Also makes it easier to hold on to.,1
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1
It's pretty easy.,1
Beautiful styling though.,1
Excellent product.,1
It is the best charger I have seen on the market yet.,1
SWEETEST PHONE!!!,1
":-)Oh, the charger seems to work fine.",1
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1
Wow... Loved this place.,1
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
The selection on the menu was great and so were the prices.,1
The fries were great too.,1
A great touch.,1
Service was very prompt.,1
"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1
Highly recommended.,1
"The food, amazing.",1
Service is also cute.,1
I could care less... The interior is just beautiful.,1
So they performed.,1
That's right....the red velvet cake.....ohhh this stuff is so good.,1
"This hole in the wall has great Mexican street tacos, and friendly staff.",1
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1
I found this place by accident and I could not be happier.,1
"Overall, I like this place a lot.",1
The only redeeming quality of the restaurant was that it was very inexpensive.,1
Ample portions and good prices.,1
My first visit to Hiro was a delight!,1
The shrimp tender and moist.,1
"On a positive note, our server was very attentive and provided great service.",1
The only thing I did like was the prime rib and dessert section.,1
"The burger is good beef, cooked just right.",1
If you want a sandwich just go to any Firehouse!!!!!,1
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
He came running after us when he realized my husband had left his sunglasses on the table.,1
Their chow mein is so good!,1
The portion was huge!,1
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
This place receives stars for their APPETIZERS!!!,1
The cocktails are all handmade and delicious.,1
We'd definitely go back here again.,1
We are so glad we found this place.,1
"Great food and service, huge portions and they give a military discount.",1
Always a great time at Dos Gringos!,1
Update.....went back for a second time and it was still just as amazing,1
A great way to finish a great.,1
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1
#NAME?,1
The sweet potato fries were very good and seasoned well.,1
Today is the second time I've been to their lunch buffet and it was pretty good.,1
This place has it!,1
I love the Pho and the spring rolls oh so yummy you have to try.,1
All I have to say is the food was amazing!!!,1
Omelets are to die for!,1
Everything was fresh and delicious!,1
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
Best breakfast buffet!!!,1
Will be back again!,1
Food arrived quickly!,1
"On the up side, their cafe serves really good food.",1
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
"Best Buffet in town, for the price you cannot beat it.",1
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
This is one of the better buffets that I have been to.,1
So we went to Tigerlilly and had a fantastic afternoon!,1
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1
The ambience is wonderful and there is music playing.,1
Will go back next trip out.,1
Sooooo good!!,1
This is a really fantastic Thai restaurant which is definitely worth a visit.,1
"Nice, spicy and tender.",1
Good prices.,1
Check it out.,1
Service was fine and the waitress was friendly.,1
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
"Phenomenal food, service and ambiance.",1
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1
Penne vodka excellent!,1
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1
I had a seriously solid breakfast here.,1
This is one of the best bars with food in Vegas.,1
My drink was never empty and he made some really great menu suggestions.,1
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1
The bathrooms are clean and the place itself is well decorated.,1
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1
This is a great restaurant at the Mandalay Bay.,1
Some highlights : Great quality nigiri here!,1
the staff is friendly and the joint is always clean.,1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1
this place is good.,1
I was seated immediately.,1
"Their menu is diverse, and reasonably priced.",1
Restaurant is always full but never a wait.,1
DELICIOUS!!,1
This place is hands-down one of the best places to eat in the Phoenix metro area.,1
Bacon is hella salty.,1
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1
The waitresses are very friendly.,1
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1
I ordered the Lemon raspberry ice cocktail which was also incredible.,1
Interesting decor.,1
What I really like there is the crepe station.,1
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1
you can watch them preparing the delicious food!),1
Both of the egg rolls were fantastic.,1
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1
The best place to go for a tasty bowl of Pho!,1
Very friendly staff.,1
It is worth the drive.,1
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1
Food was great and so was the serivce!,1
Great brunch spot.,1
Service is friendly and inviting.,1
Very good lunch spot.,1
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1
My friend loved the salmon tartar.,1
Extremely Tasty!,1
Waitress was good though!,1
The Jamaican mojitos are delicious.,1
#NAME?,1
I loved the bacon wrapped dates.,1
This is an unbelievable BARGAIN!,1
The folks at Otto always make us feel so welcome and special.,1
This is the place where I first had pho and it was amazing!!,1
This wonderful experience made this place a must-stop whenever we are in town again.,1
Very very fun chef.,1
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1
"Everyone is very attentive, providing excellent customer service.",1
Now this dish was quite flavourful.,1
"Seriously flavorful delights, folks.",1
Much better than the other AYCE sushi place I went to in Vegas.,1
The lighting is just dark enough to set the mood.,1
Owner's are really great people.!,1
The Greek dressing was very creamy and flavorful.,1
Now the pizza itself was good the peanut sauce was very tasty.,1
We had 7 at our table and the service was pretty fast.,1
Fantastic service here.,1
They know how to make them here.,1
I hope this place sticks around.,1
The restaurant atmosphere was exquisite.,1
"Good service, very clean, and inexpensive, to boot!",1
The seafood was fresh and generous in portion.,1
"Plus, it's only 8 bucks.",1
"Thus far, have only visited twice and the food was absolutely delicious each time.",1
Just as good as when I had it more than a year ago!,1
The Veggitarian platter is out of this world!,1
You cant go wrong with any of the food here.,1
You can't beat that.,1
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1
The chefs were friendly and did a good job.,1
I liked the patio and the service was outstanding.,1
The goat taco didn't skimp on the meat and wow what FLAVOR!,1
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1
I would definitely recommend the wings as well as the pizza.,1
Great Pizza and Salads!,1
This place is amazing!,1
"The staff is great, the food is delish, and they have an incredible beer selection.",1
I didn't know pulled pork could be soooo delicious.,1
"You get incredibly fresh fish, prepared with care.",1
I love the fact that everything on their menu is worth it.,1
The food was excellent and service was very good.,1
Good beer & drink selection and good food selection.,1
Good Service-check!,1
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1
I did not expect this to be so good!,1
Fantastic food!,1
The food was very good.,1
"Great food for the price, which is very high quality and house made.",1
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1
All the bread is made in-house!,1
Service was exceptional and food was a good as all the reviews.,1
"A couple of months later, I returned and had an amazing meal.",1
Favorite place in town for shawarrrrrrma!!!!!!,1
The black eyed peas and sweet potatoes... UNREAL!,1
You won't be disappointed.,1
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1
"Both of them were truly unbelievably good, and I am so glad we went back.",1
"We had fantastic service, and were pleased by the atmosphere.",1
I love this place.,1
Great service and food.,1
"OMG, the food was delicioso!",1
"Of all the dishes, the salmon was the best, but all were great.",1
The vegetables are so fresh and the sauce feels like authentic Thai.,1
It's worth driving up from Tucson!,1
Pretty good beer selection too.,1
"This place is like Chipotle, but BETTER.",1
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1
5 stars for the brick oven bread app!,1
"I have eaten here multiple times, and each time the food was delicious.",1
Everyone is treated equally special.,1
It was delicious!!!,1
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1
As always the evening was wonderful and the food delicious!,1
Best fish I've ever had in my life!,1
(The bathroom is just next door and very nice.),1
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1
Pretty cool I would say.,1
Server did a great job handling our large rowdy table.,1
Would come back again if I had a sushi craving while in Vegas.,1
"The staff are great, the ambiance is great.",1
He deserves 5 stars.,1
"The dining space is tiny, but elegantly decorated and comfortable.",1
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
Best tacos in town by far!!,1
"In an interesting part of town, this place is amazing.",1
They have great dinners.,1
The service was outshining & I definitely recommend the Halibut.,1
I will come back here every time I'm in Vegas.,1
Def coming back to bowl next time,1
"If you want healthy authentic or ethic food, try this place.",1
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1
"I have been here several times in the past, and the experience has always been great.",1
We walked away stuffed and happy about our first Vegas buffet experience.,1
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1
Service is perfect and the family atmosphere is nice to see.,1
Cooked to perfection and the service was impeccable.,1
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1
I'll definitely be in soon again.,1
Food was really good and I got full petty fast.,1
Service was fantastic.,1
I don't know what kind it is but they have the best iced tea.,1
"Come hungry, leave happy and stuffed!",1
I can assure you that you won't be disappointed.,1
I really enjoyed eating here.,1
First time going but I think I will quickly become a regular.,1
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1
No complaints!,1
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
These are the nicest restaurant owners I've ever come across.,1
We loved the biscuits!!!,1
Service is quick and friendly.,1
So absolutley fantastic.,1
definitely will come back here again.,1
I like Steiners because it's dark and it feels like a bar.,1
Wow very spicy but delicious.,1
"If you're not familiar, check it out.",1
I'd love to go back.,1
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1
Each day of the week they have a different deal and it's all so delicious!,1
"Not to mention the combination of pears, almonds and bacon is a big winner!",1
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1
My ribeye steak was cooked perfectly and had great mesquite flavor.,1
Food was so gooodd.,1
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1
Nargile - I think you are great.,1
Best tater tots in the southwest.,1
We loved the place.,1
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1
Im in AZ all the time and now have my new spot.,1
The inside is really quite nice and very clean.,1
The food was outstanding and the prices were very reasonable.,1
"Love the margaritas, too!",1
This was my first and only Vegas buffet and it did not disappoint.,1
"Very good, though!",1
Great pork sandwich.,1
We enjoy their pizza and brunch.,1
The steaks are all well trimmed and also perfectly cooked.,1
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1
I LOVED it!,1
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1
Delicious and I will absolutely be back!,1
"This isn't a small family restaurant, this is a fine dining establishment.",1
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1
How awesome is that.,1
I will be back many times soon.,1
The menu had so much good stuff on it i could not decide!,1
CONCLUSION: Very filling meals.,1
Their daily specials are always a hit with my group.,1
The pancake was also really good and pretty large at that.,1
"This was my first crawfish experience, and it was delicious!",1
Their monster chicken fried steak and eggs is my all time favorite.,1
Waitress was sweet and funny.,1
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1
Cant say enough good things about this place.,1
The ambiance was incredible.,1
The waitress and manager are so friendly.,1
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1
"Give it a try, you will be happy you did.",1
By far the BEST cheesecurds we have ever had!,1
Reasonably priced also!,1
Everything was perfect the night we were in.,1
The food is very good for your typical bar food.,1
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1
"Point your finger at any item on the menu, order it and you won't be disappointed.",1
"Oh this is such a thing of beauty, this restaurant.",1
If you haven't gone here GO NOW!,1
Those burgers were amazing.,1
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1
This was my first time and I can't wait until the next.,1
The bartender was also nice.,1
Everything was good and tasty!,1
This place is two thumbs up....way up.,1
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1
An excellent new restaurant by an experienced Frenchman.,1
"Great steak, great sides, great wine, amazing desserts.",1
The steak and the shrimp are in my opinion the best entrees at GC.,1
I had the opportunity today to sample your amazing pizzas!,1
The yellowtail carpaccio was melt in your mouth fresh.,1
Just spicy enough.. Perfect actually.,1
Last night was my second time dining here and I was so happy I decided to go back!,1
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1
"I really do recommend this place, you can go wrong with this donut place!",1
Nice ambiance.,1
I would recommend saving room for this!,1
All of the tapas dishes were delicious!,1
I *heart* this place.,1
A good time!,1
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1
Generous portions and great taste.,1
Food was delicious!,1
"He also came back to check on us regularly, excellent service.",1
Our server was super nice and checked on us many times.,1
Service was good and the company was better!,1
The staff are also very friendly and efficient.,1
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1
Their steaks are 100% recommended!,1
Great food and great service in a clean and friendly setting.,1
"All in all, I can assure you I'll be back.",1
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1
Great place fo take out or eat in.,1
The waitress was friendly and happy to accomodate for vegan/veggie options.,1
OMG I felt like I had never eaten Thai food until this dish.,1
The croutons also taste homemade which is an extra plus.,1
It'll be a regular stop on my trips to Phoenix!,1
I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,1
I miss it and wish they had one in Philadelphia!,1
They also have the best cheese crisp in town.,1
"Good value, great food, great service.",1
